Date,Issuer,Symbol,Lead/Joint-Lead  Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng ,$ Change Opening,$ Change Close,Star Ratings,Performed
2010/12/9 0:00,Bona Film Group Limited ,BONA,BofA Merrill Lynch/ J.P. Morgan,8.5,8.5,6.6,-0.223529412,0,-1.9,2,Missed
2010/12/9 0:00,First Republic Bank ,FRC,BofA Merrill Lynch/ Morgan Stanley/ J.P. Morgan,25.5,27.25,27.92,0.094901961,1.75,2.42,1,
2010/12/9 0:00,SemiLeds ,LEDS,BofA Merrill Lynch/ Barclays Capital/ Jefferies,17,23.14,25.76,0.515294118,6.14,8.76,3,
2010/12/10 0:00,FlatWorld Acquisition ,FTWAU,Rodman & Renshaw/ EarlyBirdCapital,10,10,10.01,0.001,0,0.01,1,
2010/12/10 0:00,Lentuo International ,LAS,Cowen/ HSBC,8,8.5,8.38,0.0475,0.5,0.38,1,
2010/12/10 0:00,Sky-mobi Limited  ,MOBI,Citi,8,6,6,-0.25,-2,-2,1,
2010/12/14 0:00,iSoftStone Holdings Limited ,ISS,UBS Investment Bank/ J.P. Morgan/ Morgan Stanley,13,16,16.2,0.246153846,3,3.2,2,
2010/12/15 0:00,FleetCor Technologies ,FLT,"J.P. Morgan/ Goldman, Sachs",23,25,27.75,0.206521739,2,4.75,2,
2010/12/15 0:00,GAIN Capital Holdings ,GCAP,Morgan Stanley/Deutsche Bank,9,9.05,8.85,-0.016666667,0.05,-0.15,1,
2010/12/15 0:00,RigNet ,RNET,Deutsche Bank Securities/ Jefferies & Company,12,12,12.55,0.045833333,0,0.55,1,
2010/12/15 0:00,Walker & Dunlop ,WD,"Credit Suisse/ Keefe, Bruyette & Woods/ Morgan Stanley",10,9.9,9.9,-0.01,-0.1,-0.1,1,
2010/12/16 0:00,Swift Holdings ,SWFT,Morgan Stanley/ BofA Merrill Lynch/ Wells Fargo Securities,11,11,11.1,0.009090909,0,0.1,1,
2010/12/17 0:00,Fortegra Financial ,FRF,Piper Jaffray/ SunTrust Robinson Humphrey,11,11,11,0,0,0,1,
2010/12/17 0:00,"QR Energy, LP ",QRE,Wells Fargo Securities,20,19.9,19.6,-0.02,-0.1,-0.4,1,
2010/12/16 0:00,Ventrus Biosciences ,VTUS,"Rodman & Renshaw, LLC/ National Securities",6,7.47,6.3,0.05,1.47,0.3,1,
2010/12/21 0:00,"Ossen Innovation Co., Ltd. ",OSN,"Global Hunter Securities, LLC/ Knight Capital Markets",4.5,4.74,4.25,-0.055555556,0.24,-0.25,1,
2009/2/10 0:00,Mead Johnson Nutrition ,MJN,Citi/Morgan Stanley,24,26,26.43,0.10125,2,2.43,3,
2009/4/1 0:00,Changyou.com ,CYOU,Credit Suisse/Merrill Lynch,16,22,20.02,0.25125,6,4.02,3,
2009/4/14 0:00,Bridgepoint Education ,BPI,Credit Suisse/JPMorgan,10.5,10.5,11.1,0.057142857,0,0.6,1,
2009/4/15 0:00,Rosetta Stone ,RST,Morgan Stanley/William Blair,18,25,25.12,0.395555556,7,7.12,3,
2009/5/14 0:00,DigitalGlobal ,DGI,Morgan Stanley/JP Morgan,19,23,21.5,0.131578947,4,2.5,3,
2009/5/19 0:00,SolarWinds ,SWI,"JPMorgan/ Goldman, Sachs/ Morgan Stanley",12.5,15,13.75,0.1,2.5,1.25,3,
2009/5/20 0:00,OpenTable ,OPEN,Merrill Lynch,20,24.5,31.89,0.5945,4.5,11.89,3,
2009/6/2 0:00,Government Properties Income Trust ,GOV,Merrill Lynch/Wachovia/Morgan Stanley,20,19.4,19.47,-0.0265,-0.6,-0.53,1,
2009/6/12 0:00,Cypress Sharpridge Investment ,CYS,Barclay Capital,11,12,11.55,0.05,1,0.55,1,
2009/6/24 0:00,Chemspec International ,CPC,Credit Suisse/Citi,9,9.45,9,0,0.45,0,3,Missed
2009/6/24 0:00,Duoyuan Global Water ,DGW,Piper Jaffray,16,22.65,21.87,0.366875,6.65,5.87,3,
2009/6/25 0:00,Medidata Solutions ,MDSO,Citi/Credit Suisse,14,18,17,0.214285714,4,3,3,
2009/6/26 0:00,Invesco Mortgage Capital,IVR,Credit Suisse/Morgan Stanley,20,19.8,19.42,-0.029,-0.2,-0.58,1,
2009/7/1 0:00,LogMeIn ,LOGM,JPMorgan/Barclay Capital,16,20,20.02,0.25125,4,4.02,3,
2009/7/30 0:00,PennyMac Investment Trust ,PMT,Merrill Lynch/ Credit Suisse/ Deutsche Bank Securities,20,19,19.1,-0.045,-1,-0.9,1,
2009/8/1 0:00,Emdeon ,EM,Morgan Stanley,15,17.5,16.52,0.101333333,2.5,1.52,3,
2009/8/6 0:00,CDC Software ,CDCS,Lazard Capital Markets/JMP Securities,12,12,9.99,-0.1675,0,-2.01,3,Missed
2009/8/6 0:00,Avago Technologies ,AVGO,Deutsche Bank Securities/ Barclays Capital/ Morgan Stanley/ Citi,15,16.2,16.18,0.078666667,1.2,1.18,2,
2009/8/10 0:00,Cumberland Pharmaceuticals ,CPIX,UBS Investment Bank/Jefferies/ Wachovia Securities,17,17.75,16.83,-0.01,0.75,-0.17,1,
2009/8/11 0:00,Starwood Property Trust ,STWD,BofA Merrill Lynch/Deuteche Bank,20,19.5,20,0,-0.5,0,1,
2009/9/16 0:00,CreXus Investment,CXS,Deutsche Bank/Merrill Lynch,15,14.5,14.63,-0.024666667,-0.5,-0.37,1,
2009/9/24 0:00,Vitacost.com ,VITC,Jefferies/Oppenheimer ,12,12.05,12.05,0.004166667,0.05,0.05,2,Missed
2009/9/24 0:00,Colony Financial ,CLNY,BofA Merrill Lynch/Goldman Sachs/Morgan Stanley/UBS Investment Bank,20,19.5,19.66,-0.017,-0.5,-0.34,1,
2009/9/24 0:00,A123 Systems ,AONE,Morgan Stanley/Goldman Sachs,13.5,16.94,20.29,0.502962963,3.44,6.79,3,
2009/9/24 0:00,Apollo Commerical Real Estate ,ARI,J.P. Morgan/Citi/Barclays Capial,20,19.05,18.5,-0.075,-0.95,-1.5,1,
2009/9/24 0:00,Artio Global Investors ,ART,Goldman Sachs,26,27.3,28.1,0.080769231,1.3,2.1,2,
2009/9/25 0:00,Shanda Games Limited ,GAME,Goldman Sachs (Asia)/J.P. Morgan,12.5,12.5,10.75,-0.14,0,-1.75,3,Missed
2009/9/25 0:00,Select Medical Holdings ,SEM,Goldman Sachs/ Morgan Stanley/ BofA Merrill Lynch/ J.P. Morgan,10,9.75,10.09,0.009,-0.25,0.09,1,
